"Effective February 1, 2025",,
,,
,Part ID,LIST PRICE
,CM10MH1US,"$2,917.00 "
,CM10MH3RS,"$2,917.00 "
,CM10MH3US,"$2,917.00 "
,CM10ML1RS,"$2,917.00 "
,CM10ML1US,"$2,917.00 "
,CM10ML3RS,"$2,917.00 "
,CM10ML3US,"$2,917.00 "
,CM10PH1RS,"$2,915.00 "
,CM10PH1US,"$2,915.00 "
,CM10PH3RS,"$2,915.00 "
,CM10PH3US,"$2,915.00 "
,CM10QH1RS,"$2,980.00 "
,CM10QH1US,"$2,980.00 "
,CM10QH3RS,"$2,980.00 "
,CM10QH3US,"$2,980.00 "
,CM10RH1RS,"$3,000.00 "
,CM10RH1US,"$3,000.00 "
,CM10RH3RS,"$3,000.00 "
,CM10RH3US,"$3,000.00 "
,CM12MH1RS,"$3,580.00 "
,CM12MH1US,"$3,580.00 "
,CM12MH3RS,"$3,580.00 "
,CM12MH3US,"$3,580.00 "
,CM12PH1RS,"$3,552.00 "
,CM12PH1US,"$3,552.00 "
,CM12PH3RS,"$3,552.00 "
,CM12PH3US,"$3,552.00 "
,CM12QH1RS,"$3,667.00 "
,CM12QH1US,"$3,667.00 "
,CM12QH3RS,"$3,667.00 "
,CM12QH3US,"$3,667.00 "
,CM12RH1RS,"$3,650.00 "
,CM12RH1US,"$3,650.00 "
,CM12RH3RS,"$3,650.00 "
,CM12RH3US,"$3,650.00 "
,CM12SH1RS,"$3,677.00 "
,CM12SH1US,"$3,677.00 "
,CM12SH3RS,"$3,677.00 "
,CM12SH3US,"$3,677.00 "
,CM12TH1RS,"$3,700.00 "
,CM12TH1US,"$3,700.00 "
,CM12TH3RS,"$3,700.00 "
,CM12TH3US,"$3,700.00 "
,CM12VH1RS,"$3,800.00 "
,CM12VH1US,"$3,800.00 "
,CM12VH3RS,"$3,800.00 "
,CM12VH3US,"$3,800.00 "
,CM14MH1RS,"$2,920.00 "
,CM14MH1US,"$2,920.00 "
,CM14MH3RS,"$2,920.00 "
,CM14MH3US,"$2,920.00 "
,CM14PH1RS,"$2,901.00 "
,CM14PH1US,"$2,901.00 "
,CM14PH3RS,"$2,901.00 "
,CM14PH3US,"$2,901.00 "
,CM14QH1RS,"$3,000.00 "
,CM14QH1US,"$3,000.00 "
,CM14QH3RS,"$3,000.00 "
,CM14QH3US,"$3,000.00 "
,CM14RH1RS,"$3,075.00 "
,CM14RH1US,"$3,075.00 "
,CM14RH3RS,"$3,075.00 "
,CM14RH3US,"$3,075.00 "
,CM14SH1RS,"$3,048.00 "
,CM14SH1US,"$3,048.00 "
,CM14SH3RS,"$3,048.00 "
,CM14SH3US,"$3,048.00 "
,CM14TH1RS,"$3,180.00 "
,CM14TH1US,"$3,180.00 "
,CM14TH3RS,"$3,180.00 "
,CM14TH3US,"$3,180.00 "
,CM14VH1RS,"$3,360.00 "
,CM14VH1US,"$3,360.00 "
,CM14VH3RS,"$3,360.00 "
,CM14VH3US,"$3,360.00 "
,CM14WH3RS,"$3,890.00 "
,CM14WH3US,"$3,890.00 "
,CM16MH1RS,"$3,018.00 "
,CM16MH1US,"$3,018.00 "
,CM16MH3RS,"$3,018.00 "
,CM16MH3US,"$3,018.00 "
,CM16PH1RS,"$3,001.00 "
,CM16PH1US,"$3,001.00 "
,CM16PH3RS,"$3,001.00 "
,CM16PH3US,"$3,001.00 "
,CM16QH1RS,"$3,075.00 "
,CM16QH1US,"$3,075.00 "
,CM16QH3RS,"$3,075.00 "
,CM16QH3US,"$3,075.00 "
,CM16RH1RS,"$3,145.00 "
,CM16RH1US,"$3,145.00 "
,CM16RH3RS,"$3,145.00 "
,CM16RH3US,"$3,145.00 "
,CM16SH1RS,"$3,105.00 "
,CM16SH1US,"$3,105.00 "
,CM16SH3RS,"$3,105.00 "
,CM16SH3US,"$3,105.00 "
,CM16TH1RS,"$3,236.00 "
,CM16TH1US,"$3,236.00 "
,CM16TH3RS,"$3,236.00 "
,CM16TH3US,"$3,236.00 "
,CM16VH1RS,"$3,430.00 "
,CM16VH1US,"$3,430.00 "
,CM16VH3RS,"$3,430.00 "
,CM16VH3US,"$3,430.00 "
,CM16WH3RS,"$3,900.00 "
,CM16WH3US,"$3,900.00 "
,CM18MH3RS,"$3,694.00 "
,CM18MH3US,"$3,694.00 "
,CM18PH1RS,"$3,644.00 "
,CM18PH1US,"$3,644.00 "
,CM18PH3RS,"$3,644.00 "
,CM18PH3US,"$3,644.00 "
,CM18QH1RS,"$3,735.00 "
,CM18QH1US,"$3,735.00 "
,CM18QH3RS,"$3,735.00 "
,CM18QH3US,"$3,735.00 "
,CM18RH1RS,"$3,817.00 "
,CM18RH1US,"$3,817.00 "
,CM18RH3RS,"$3,817.00 "
,CM18RH3US,"$3,817.00 "
,CM18SH1RS,"$3,792.00 "
,CM18SH1US,"$3,792.00 "
,CM18SH3RS,"$3,792.00 "
,CM18SH3US,"$3,792.00 "
,CM18TH1RS,"$3,891.00 "
